TRACK_ID,TITLE,ARTIST,ALBUM,YEAR,GENRE,DURATION,BITRATE
track_0002263,On the other side,Sköhl Offensrüh,First Act.,2005,Rock,493,96kbps
track_0003346,Hey Girl,Mel's,Hey Girl,2005,Pop,194,96kbps
track_0003347,Un Sentier,Mel's,Hey Girl,2005,Rock,201,96kbps
track_0003348,Une Nuit,Mel's,Hey Girl,2005,Pop,253,96kbps
track_0003349,Traverse le Temps,Mel's,Hey Girl,2005,Pop,228,96kbps
track_0003350,Hey Girl (english version),Mel's,Hey Girl,2005,Pop,194,96kbps
track_0004639,New day,Alexander Blu,Some of my works from 1995-2005,2005,Ambient,187,96kbps
track_0004882,Orientale,Tom La Meche,Voyageur,2002,Jazz,210,96kbps
track_0004883,Pan,Tom La Meche,Voyageur,2002,world,249,96kbps
track_0004884,Transe formation,Tom La Meche,Voyageur,2002,world,216,96kbps
track_0004889,Rêve,Tom La Meche,Voyageur,2002,Jazz,178,96kbps
track_0005083,Rencontre du 7ième type,Tom La Meche,Personnel,2005,Jazz,165,96kbps
track_0005634,Wandering heart,Xcyril,Organique,2005,filmscore,228,96kbps
track_0005635,I need her but...,Xcyril,Organique,2005,Electronic,232,96kbps
track_0005636,We are not compatible,Xcyril,Organique,2005,Electronic,276,96kbps
track_0005637,Impossible choice,Xcyril,Organique,2005,filmscore,333,96kbps
track_0005638,The shouting of the animal,Xcyril,Organique,2005,Electronic,224,96kbps
track_0005640,In Morpheus' Arms,Xcyril,Organique,2005,filmscore,226,96kbps
track_0005641,Painful alarm clock at the cucurbitaceous ones,Xcyril,Organique,2005,Electronic,214,96kbps
track_0005642,Return to the house,Xcyril,Organique,2005,filmscore,216,96kbps
track_0005643,I am fed up there,Xcyril,Organique,2005,filmscore,231,96kbps
track_0006247,Introduction premier theme,Xcyril,Musiques pour films,2001,filmscore,380,96kbps
track_0006249,La decouverte et la conquete,Xcyril,Musiques pour films,2001,filmscore,364,96kbps
track_0006250,La mort,Xcyril,Musiques pour films,2001,filmscore,237,96kbps
track_0006251,La preparation,Xcyril,Musiques pour films,2001,filmscore,391,96kbps
track_0006252,Reverie,Xcyril,Musiques pour films,2001,filmscore,339,96kbps
track_0006253,L attente,Xcyril,Musiques pour films,2001,filmscore,270,96kbps
track_0006254,Introduction deuxieme theme,Xcyril,Musiques pour films,2001,Classical,480,96kbps
track_0006256,Suspence dans un film d action,Xcyril,Musiques pour films,2001,filmscore,235,96kbps
track_0006257,Psychedelique,Xcyril,Musiques pour films,2001,filmscore,207,96kbps
track_0006258,Elfman 01,Xcyril,Musiques pour films,2001,filmscore,175,96kbps
track_0006719,Northern Star,Steven Dunston,Hymns About Her (advance),2006,Pop,188,96kbps
track_0006720,America,Steven Dunston,Hymns About Her (advance),2006,Pop,131,96kbps
track_0006721,Sideways,Steven Dunston,Hymns About Her (advance),2006,Ambient,150,96kbps
track_0006722,Gravity,Steven Dunston,Hymns About Her (advance),2006,Pop,176,96kbps
track_0006723,California,Steven Dunston,Hymns About Her (advance),2006,Pop,212,96kbps
track_0006724,Little White Church,Steven Dunston,Hymns About Her (advance),2006,Pop,154,96kbps
track_0006725,Tonic and Gin,Steven Dunston,Hymns About Her (advance),2006,Pop,230,96kbps
track_0006726,Lyle Love Song,Steven Dunston,Hymns About Her (advance),2006,Country,185,96kbps
track_0006727,Resignation,Steven Dunston,Hymns About Her (advance),2006,Classical,159,96kbps
track_0006728,You Believe,Steven Dunston,Hymns About Her (advance),2006,Pop,239,96kbps
track_0006729,When I Was With You,Steven Dunston,Hymns About Her (advance),2006,Pop,209,96kbps
track_0006730,Man of Faith,Steven Dunston,Hymns About Her (advance),2006,Pop,206,96kbps
track_0006731,Slow Road,Steven Dunston,Hymns About Her (advance),2006,Pop,170,96kbps
track_0006732,Piano Forte,Steven Dunston,Hymns About Her (advance),2006,Pop,186,96kbps
track_0007358,Danger Girl,Steven Dunston,To Get Home Before Night Comes,2003,Pop,240,96kbps
track_0007359,Move a Little Closer,Steven Dunston,To Get Home Before Night Comes,2003,Pop,221,96kbps
track_0007360,Better Man,Steven Dunston,To Get Home Before Night Comes,2003,Pop,231,96kbps
