TRACK_ID,TITLE,ARTIST,ALBUM,YEAR,GENRE,DURATION,BITRATE
track_1420475,Music is More for Me,Tedjep Soulful House,Cool Groove,0.0,Funk,224,96kbps
track_1420476,Music is my Life,Tedjep Soulful House,Cool Groove,0.0,Funk,173,96kbps
track_1420478,Por Voce,Tedjep Soulful House,Cool Groove,0.0,Funk,169,96kbps
track_1420479,Pump This Turn,Tedjep Soulful House,Cool Groove,0.0,Electronic,184,96kbps
track_1420480,Realy Oldskool,Tedjep Soulful House,Cool Groove,0.0,Funk,170,96kbps
track_1420481,Respect for All,Tedjep Soulful House,Cool Groove,0.0,House,171,96kbps
track_1420484,Shaking Me Back Now,Tedjep Soulful House,Cool Groove,0.0,Funk,146,96kbps
track_1420492,Just Let Go,Soulful Women,Deep Vocals 2,0.0,House,171,96kbps
track_1420499,Everything is not Like That,Tedjep Soulful House,Freak Deep Soulful House,0.0,Electronic,186,96kbps
track_1420500,I Believe in Love,Tedjep Soulful House,Freak Deep Soulful House,0.0,Electronic,192,96kbps
track_1420501,No One is Giving You Guarantee,Tedjep Soulful House,Freak Deep Soulful House,2017.0,Electronic,277,96kbps
track_1420502,Say Goodbye,Tedjep Soulful House,Freak Deep Soulful House,0.0,Electronic,164,96kbps
track_1420503,See me Only,Tedjep Soulful House,Freak Deep Soulful House,0.0,Electronic,200,96kbps
track_1420504,Take Me Higher,Tedjep Soulful House,Freak Deep Soulful House,0.0,Electronic,137,96kbps
track_1420505,Will you be my,Tedjep Soulful House,Freak Deep Soulful House,0.0,Electronic,193,96kbps
track_1420506,Thanks Betty,Tedjep Soulful House,Freak Deep Soulful House,0.0,Funk,142,96kbps
track_1420507,The First Time,Tedjep Soulful House,Freak Deep Soulful House,0.0,Funk,132,96kbps
track_1420508,The One of the World,Tedjep Soulful House,Freak Deep Soulful House,0.0,Electronic,154,96kbps
track_1420509,Tjike Tjike Ta,Tedjep Soulful House,Freak Deep Soulful House,0.0,Electronic,162,96kbps
track_1420510,Try me Give Back my Mama,Tedjep Soulful House,Freak Deep Soulful House,0.0,Electronic,182,96kbps
track_1420511,You Are Welcome,Tedjep Soulful House,Freak Deep Soulful House,0.0,Electronic,199,96kbps
track_1420552,No Crying,Kingstone,"Reggae Dub Chill, Vol.-2",0.0,House,206,96kbps
track_1420556,Reggae in Sevilla,Kingstone,"Reggae Dub Chill, Vol.-2",0.0,House,184,96kbps
track_1420563,Stay Away,Kingstone,"Reggae Dub Chill, Vol.-3",0.0,House,198,96kbps
track_1420570,Seven Pound,Kingstone,"Reggae Dub Chill, Vol.-3",0.0,House,209,96kbps
track_1420577,I Am At Home,Kingstone,"Reggae Dub Chill, Vol.-3",0.0,House,169,96kbps
track_1420578,Warm Weather,Kingstone,"Reggae Dub Chill, Vol.-4",0.0,House,226,96kbps
track_1420585,Old Resort,Kingstone,"Reggae Dub Chill, Vol.-4",0.0,House,258,96kbps
track_1420593,In Heaven,Dreadboxx,"Reggae Dub Lounge, Vol.-1",0.0,House,219,96kbps
track_1420699,Bad Man,Soul-Ty,Sweet-Energy,0.0,Funk,252,96kbps
track_1420700,Free Fall,Soul-Ty,Sweet-Energy,0.0,Dance,182,96kbps
track_1420701,High,Soul-Ty,Sweet-Energy,0.0,House,214,96kbps
track_1420702,Instantly,Soul-Ty,Sweet-Energy,0.0,Electronic,181,96kbps
track_1420704,La La La,Soul-Ty,Sweet-Energy,0.0,,177,96kbps
track_1420705,On Fire,Soul-Ty,Sweet-Energy,0.0,,193,96kbps
track_1420706,Sun Is Coming Out,Soul-Ty,Sweet-Energy,0.0,Electronic,181,96kbps
track_1420707,Sweet Energy,Soul-Ty,Sweet-Energy,0.0,chillout,165,96kbps
track_1421350,Rock Trailer - 2,MuswayStudio (Royalty Free Music - Background Music),Rock Trailer,2017.0,filmscore,55,96kbps
track_1421351,Rock Trailer - 3,MuswayStudio (Royalty Free Music - Background Music),Rock Trailer,2017.0,filmscore,30,96kbps
track_1421522,Night I (Theme),Erick Lainuz,Suspense I,2017.0,darkambient,175,96kbps
track_1421788,Stars Fall,State Shirt,Lost Hills,2015.0,Indie,238,96kbps
